key,id,name,kana,type,sort_level,grade,group_join,permit,del
nckimport,380,前橋支店_事務システム指導班,前橋支店_事務しすてむ指導班,1,323,,2,0,0
nckimport,379,前橋支店_JAサポート企画2班,前橋支店_JAさぽーと企画2班,1,322,,2,0,0
nckimport,378,前橋支店_JAサポート企画1班,前橋支店_JAさぽーと企画1班,1,321,,2,0,0
nckimport,377,前橋支店_推進指導総括班,前橋支店_推進指導総括班,1,320,,2,0,0
nckimport,376,前橋支店_農林水産環境事業班,前橋支店_農林水産環境事業班,1,319,,2,0,0
nckimport,373,前橋支店_窓口業務課,前橋支店_窓口業務課,1,317,,2,0,0
nckimport,372,前橋支店_公庫受託課,前橋支店_公庫受託課,1,316,,2,0,0
nckimport,371,前橋支店_総務班,前橋支店_総務班,1,315,,2,0,0
nckimport,369,宇都宮支店_人材育成班,宇都宮支店_人材育成班,1,314,,2,0,0
nckimport,368,宇都宮支店_基盤強化班,宇都宮支店_基盤強化班,1,313,,2,0,0
nckimport,367,宇都宮支店_リテール班,宇都宮支店_りてーる班,1,312,,2,0,0
nckimport,366,宇都宮支店_JAサポート班,宇都宮支店_JAさぽーと班,1,311,,2,0,0
nckimport,365,宇都宮支店_総括班,宇都宮支店_総括班,1,310,,2,0,0
nckimport,362,宇都宮支店_窓口業務課,宇都宮支店_窓口業務課,1,308,,2,0,0
nckimport,361,宇都宮支店_公庫受託課,宇都宮支店_公庫受託課,1,307,,2,0,0
nckimport,360,宇都宮支店_農林水産環境事業班,宇都宮支店_農林水産環境事業班,1,306,,2,0,0
nckimport,359,宇都宮支店_総務班,宇都宮支店_総務班,1,305,,2,0,0
nckimport,355,福島支店_窓口業務課,福島支店_窓口業務課,1,303,,2,0,0
nckimport,354,福島支店_公庫受託課,福島支店_公庫受託課,1,302,,2,0,0
nckimport,353,福島支店_農林水産環境事業班,福島支店_農林水産環境事業班,1,301,,2,0,0
nckimport,352,福島支店_合併推進班,福島支店_合併推進班,1,300,,2,0,0
nckimport,351,福島支店_ＪＡ経営対策班,福島支店_ＪＡ経営対策班,1,299,,2,0,0
nckimport,350,福島支店_システム手続班,福島支店_しすてむ手続班,1,298,,2,0,0
nckimport,349,福島支店_業務第四班,福島支店_業務第四班,1,297,,2,0,0
nckimport,348,福島支店_業務第三班,福島支店_業務第三班,1,296,,2,0,0
nckimport,347,福島支店_業務第二班,福島支店_業務第二班,1,295,,2,0,0
nckimport,346,福島支店_業務第一班,福島支店_業務第一班,1,294,,2,0,0
nckimport,345,福島支店_総務班,福島支店_総務班,1,293,,2,0,0
nckimport,343,秋田支店_人材開発班,秋田支店_人材開発班,1,292,,2,0,0
nckimport,342,秋田支店_事務システム班,秋田支店_事務しすてむ班,1,291,,2,0,0
nckimport,341,秋田支店_推進支援班,秋田支店_推進支援班,1,290,,2,0,0
